Date,FareProduct,TransitCard,PaymentType,BusNo,TransactionType,SeqNo,GrpQty,TotalCost,Bonus,Change,TotalChange,ValueLeft,RidesLeft,RenewedAdvCount,Status,Company,Vehicle,Hour,Minute,Trip No,Route,Departure,Arrival,Avg Departure Diff,Avg Scheduled Travel,Avg Arrival Diff
2016-01-19 11:50:00,EZ Pass S/D Z0,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,11,30,301011,31,2016-01-19 11:31:42,2016-01-19 11:59:42,1.7,28,1.7
2016-01-19 12:10:00,ASI,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,1.0,Unlmtd,0.0,Success,First Transit,3295,12,8,301012,31,2016-01-19 12:08:57,2016-01-19 12:25:27,1.0,11,6.5
2016-01-19 12:14:00,ASI,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,12,8,301012,31,2016-01-19 12:08:57,2016-01-19 12:25:27,1.0,11,6.5
2016-01-19 12:29:00,ASI,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,12,19,301012,31,2016-01-19 12:27:27,2016-01-19 12:33:27,8.5,7,7.5
2016-01-19 12:29:00,ASI,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,12,19,301012,31,2016-01-19 12:27:27,2016-01-19 12:33:27,8.5,7,7.5
2016-01-19 12:37:00,ASI,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,12,26,301012,31,2016-01-19 12:34:27,2016-01-19 12:40:27,8.5,5,9.5
2016-01-19 12:47:00,ASI,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,12,31,301012,31,2016-01-19 12:41:27,2016-01-19 12:48:27,10.5,8,9.5
2016-01-19 12:56:00,ASI,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,12,42,301013,31,2016-01-19 12:49:57,2016-01-19 13:19:57,8.0,27,11.0
2016-01-19 12:56:00,ASI,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,12,47,301013,31,2016-01-19 12:55:27,2016-01-19 13:01:42,8.5,5,9.7
2016-01-19 12:57:00,ASI,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,12,42,301013,31,2016-01-19 12:49:57,2016-01-19 13:19:57,8.0,27,11.0
2016-01-19 12:57:00,ASI,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,12,47,301013,31,2016-01-19 12:55:27,2016-01-19 13:01:42,8.5,5,9.7
2016-01-19 12:58:00,ASI,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,12,42,301013,31,2016-01-19 12:49:57,2016-01-19 13:19:57,8.0,27,11.0
2016-01-19 12:58:00,ASI,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,12,47,301013,31,2016-01-19 12:55:27,2016-01-19 13:01:42,8.5,5,9.7
2016-01-19 12:58:00,ASI,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,12,42,301013,31,2016-01-19 12:49:57,2016-01-19 13:19:57,8.0,27,11.0
2016-01-19 12:58:00,ASI,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,12,47,301013,31,2016-01-19 12:55:27,2016-01-19 13:01:42,8.5,5,9.7
2016-01-19 13:01:00,ASI,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,12,42,301013,31,2016-01-19 12:49:57,2016-01-19 13:19:57,8.0,27,11.0
2016-01-19 13:01:00,ASI,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,12,47,301013,31,2016-01-19 12:55:27,2016-01-19 13:01:42,8.5,5,9.7
2016-01-19 13:18:00,ASI,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,12,42,301013,31,2016-01-19 12:49:57,2016-01-19 13:19:57,8.0,27,11.0
2016-01-19 13:18:00,ASI,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,12,59,301013,31,2016-01-19 13:11:27,2016-01-19 13:19:57,12.5,10,11.0
2016-01-19 13:23:00,ASI,1.6e+14,,3295,Pass Entry (Tag On),,1,0.0,0,0.0,0.0,0.0,Unlmtd,0.0,Success,First Transit,3295,13,19,301014,31,2016-01-19 13:22:12,2016-01-19 13:54:58,3.2,36,0.0
